"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.891a",-2.0329487410135,-0.711306680037724,-5.29878629428422,1.84938862592148e-07,8.67496726592036e-07,6.61177904464981
"hsa.mir.454",1.06356882120467,3.30190474447321,5.30646049576836,1.77773580801423e-07,8.51441886996289e-07,6.59733054211976
"hsa.mir.543",-1.44346122662128,0.518713240261017,-5.28721099202222,1.96279192320197e-07,9.11296250058059e-07,6.52381505152717
"hsa.mir.129.1",-2.00180214150763,-0.206527698415055,-5.20594622748771,2.97181562087731e-07,1.35217610749918e-06,6.13824426054391
"hsa.mir.127",-1.46758857203481,9.20092222194272,-5.26623095419124,2.18575656527612e-07,1.00456488606125e-06,6.13246683740279
"hsa.mir.940",1.80345111119164,2.15340601829332,5.18764427517943,3.2604499841429e-07,1.46881657701487e-06,6.10178942855568
"hsa.mir.376c",-1.40649604913989,2.63379585635177,-5.05709123575376,6.26681192481164e-07,2.76834895707699e-06,5.30728923319158
"hsa.mir.496",-1.4035028707263,1.18594365135635,-5.03879279551703,6.86031196271186e-07,3.00138648368644e-06,5.29144745319499
"hsa.mir.191",1.11002758152339,9.38295162304497,5.07908281136534,5.61905090603883e-07,2.5065374139683e-06,5.27836657091934
"hsa.mir.1468",-1.43018419814255,1.66052976312787,-5.03675382423743,6.92971591266958e-07,3.00287689549015e-06,5.25367551367266
"hsa.mir.106b",0.876206142203377,9.44205312915649,5.03009694546326,7.16106575687061e-07,3.07385369752465e-06,5.03743924600003
"hsa.mir.30c.2",-0.829242752838978,8.15258867933064,-4.97884801744671,9.20992968029743e-07,3.91637196685545e-06,4.78871112768573
"hsa.mir.369",-1.34444362160212,3.38370846889731,-4.92711361927286,1.18476594459054e-06,4.99137504433976e-06,4.66789880140387
"hsa.mir.152",-1.2729057620288,7.47088372855336,-4.92362657940257,1.20495510633758e-06,5.02985847140916e-06,4.53735705849945
"hsa.mir.200b",2.34297970556016,9.70746497390814,4.82070939887689,1.97523361163171e-06,8.17028448447661e-06,4.09408372686783
"hsa.mir.1911",-2.41374398568329,-0.729631974692776,-4.73654580375084,2.94007877669654e-06,1.1838370295548e-05,3.95914553073904
"hsa.mir.181b.1",1.03899778382469,7.2269686914279,4.77541507238817,2.44847378476679e-06,9.94692475061507e-06,3.92026083092385
"hsa.mir.29a",-1.3480525676489,12.3928687354878,-4.77601623071112,2.44153097448603e-06,9.94692475061507e-06,3.73742716245301
"hsa.mir.32",0.943620622469667,5.13086108583599,4.68207053443009,3.79157971410873e-06,1.51330593852585e-05,3.56961791009389
"hsa.mir.33b",1.73497991536202,0.972583381748964,4.57987971186811,6.0697535134744e-06,2.36045969968449e-05,3.35234342184254
"hsa.mir.205",2.8346228221973,12.1566691051432,4.65934015082219,4.21306066698051e-06,1.66690661171838e-05,3.31694160711855
"hsa.mir.181b.2",1.01700756927671,7.16437354578418,4.62683779277708,4.89478898175167e-06,1.91993878163535e-05,3.25915959324968
"hsa.mir.486.1",-1.57428029619554,5.19084789046709,-4.56355565654501,6.53833369713184e-06,2.52113714592796e-05,2.97181475692143
"hsa.mir.380",-1.3657543388891,-0.198603914218832,-4.50375439120833,8.56959931220984e-06,3.24930640587956e-05,2.95860444973767
"hsa.mir.664b",-1.04104871080609,2.03265302449909,-4.4916695741372,9.04789133785116e-06,3.37441849075596e-05,2.8017728477986
"hsa.mir.486.2",-1.56425745677905,5.18546125291896,-4.52157180105934,7.90840380501592e-06,3.02380145485903e-05,2.79069550679274
"hsa.mir.3613",1.03696122735907,3.65447107477246,4.4442189408219,1.11853693785465e-05,4.07147445379094e-05,2.61988237722902
"hsa.let.7i",-0.662756253889973,8.67811406377205,-4.49684958161769,8.83982388744847e-06,3.32406600726368e-05,2.61305247845477
"hsa.mir.192",1.262582579273,8.24987688882678,4.4496618422553,1.09175912412031e-05,4.03862115020114e-05,2.47067012472158
"hsa.mir.29c",-1.11791177871004,10.8601432770486,-4.4464340964186,1.10756382474499e-05,4.06404467950783e-05,2.33296601812843
"hsa.mir.27b",-0.813597806361163,10.8375142715596,-4.43578376898877,1.16128287370493e-05,4.19352148837892e-05,2.29448554352825
"hsa.mir.154",-1.13749855327585,2.39982662559851,-4.37029636697773,1.55064623750171e-05,5.55546486663999e-05,2.26591049871555
"hsa.mir.1301",1.00598155161685,3.3003744483892,4.35402936220734,1.66519162762081e-05,5.91923586380834e-05,2.25765761809737
