"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.125b.1",-3.11577115471803,6.66338756607618,-7.95887397054743,1.32149568790021e-14,5.28598275160085e-14,22.3817188897427
"hsa.mir.3917",-3.23708251482838,0.507518061611243,-7.86585989621244,2.55474211391963e-14,1.01269056767985e-13,21.9028207300905
"hsa.mir.1249",-3.0226478848221,0.399519558178642,-7.8465580627681,2.92714613481827e-14,1.14995026725004e-13,21.7784299847144
"hsa.mir.7.1",3.07591904843748,5.6248868457713,7.83414114377426,3.19451742641258e-14,1.24388289170047e-13,21.7035900997397
"hsa.mir.340",2.78405448972783,4.03697199952844,7.73073238149911,6.58895169970319e-14,2.54310416479772e-13,21.000499438302
"hsa.mir.26b",1.85628415639198,9.16087703565977,7.72071070007429,7.06516298963664e-14,2.70319279603489e-13,20.7830330503448
"hsa.mir.125b.2",-3.08146446262659,6.70800326899097,-7.71143257569561,7.53621808847717e-14,2.85856548183617e-13,20.6740882714181
"hsa.mir.132",-2.22931511425199,6.29442804689081,-7.68179764370797,9.25804198943202e-14,3.48165681653854e-13,20.4934981337583
"hsa.mir.411",3.39886380912579,2.69538075097476,7.63221622254223,1.30454990055097e-13,4.82354585077671e-13,20.3355099837234
"hsa.mir.10a",2.72122444665248,15.9005562846883,7.65729129356158,1.09704801170846e-13,4.0906875012858e-13,20.2663164865671
"hsa.mir.153.2",4.96235533509979,4.75927393212456,7.55022438050438,2.29180976143161e-13,8.40330245858258e-13,19.7862688588769
"hsa.mir.301a",3.74728440726318,3.38188359265408,7.50721461239769,3.07435904214416e-13,1.11794874259788e-12,19.5006378928945
"hsa.mir.376c",3.0133229587838,2.23983693670906,7.4793252297993,3.71695366570021e-13,1.34054066631811e-12,19.3163016120624
"hsa.mir.7702",-3.80611212143304,-0.347510614418793,-7.4761277482015,3.79859647773269e-13,1.35884752048974e-12,19.2790451853749
"hsa.mir.203b",5.48549576181748,7.01977628287496,7.45432301070136,4.40442751042602e-13,1.55035848366996e-12,19.1500330260911
"hsa.mir.339",-2.20957669003484,5.23642776605391,-7.45617072553273,4.34959767199298e-13,1.5434056255459e-12,19.0034982077464
